data,parse_method,last_updated
A84423349V,abs_ts,
A84423356T,abs_ts,
A84423355R,abs_ts,
A85223451R,abs_ts,
A84423354L,abs_ts,
A84423350C,abs_ts,
A84433601W,abs_ts,
A84423357V,abs_ts,
A84423244X,abs_ts,
A84423468K,abs_ts,
A84423043C,abs_ts,
A84423272J,abs_ts,
A84423286W,abs_ts,
A84423370L,abs_ts,
A84423328J,abs_ts,
A84423300F,abs_ts,
A84423314V,abs_ts,
A84423342C,abs_ts,
A84423242V,abs_ts,
A84423466F,abs_ts,
A84423270C,abs_ts,
A84423368A,abs_ts,
A84423340X,abs_ts,
A84423326C,abs_ts,
A84423284T,abs_ts,
A84423312R,abs_ts,
A84423298F,abs_ts,
A84423050A,abs_ts,
A84426256L,abs_ts,
A84426277X,abs_ts,
A85223450L,abs_ts,
A84423051C,abs_ts,
A84423271F,abs_ts,
A84423369C,abs_ts,
A84423341A,abs_ts,
A84423327F,abs_ts,
A84423285V,abs_ts,
A84423313T,abs_ts,
A84423299J,abs_ts,
A84423689R,abs_ts,
A84423461V,abs_ts,
A84423237A,abs_ts,
A84423245A,abs_ts,
A84423469L,abs_ts,
A84423238C,abs_ts,
A84423462W,abs_ts,
A84423577W,abs_ts,
A84423801C,abs_ts,
A84423351F,abs_ts,
A84423239F,abs_ts,
A84423463X,abs_ts,
A84423243W,abs_ts,
A84423467J,abs_ts,
A84433602X,abs_ts,
A84433603A,abs_ts,
A84433505W,abs_ts,
A84433503T,abs_ts,
A84433504V,abs_ts,
A84433519K,abs_ts,
A84433517F,abs_ts,
A84433518J,abs_ts,
A84433533F,abs_ts,
A84433531A,abs_ts,
A84433532C,abs_ts,
A84433617R,abs_ts,
A84433615K,abs_ts,
A84433616L,abs_ts,
A84433575C,abs_ts,
A84433573X,abs_ts,
A84433574A,abs_ts,
A84433547V,abs_ts,
A84433545R,abs_ts,
A84433546T,abs_ts,
A84433589T,abs_ts,
A84433587L,abs_ts,
A84433588R,abs_ts,
A84433561R,abs_ts,
A84433559C,abs_ts,
A84433560L,abs_ts,
A84424692W,abs_ts,
A84424622R,abs_ts,
A84424691V,abs_ts,
A84433475V,abs_ts,
A84423687K,abs_ts,
A84600253V,abs_ts,
A84600145K,abs_ts,
A84599659L,abs_ts,
A84600019W,abs_ts,
A84600187J,abs_ts,
A84599557X,abs_ts,
A84600115W,abs_ts,
A84599851L,abs_ts,
A84599923L,abs_ts,
A84600025T,abs_ts,
A84600193C,abs_ts,
A84600079X,abs_ts,
A84599665J,abs_ts,
